SYMBOL,SECTOR,holidays
DECCANCE-EQ,Full Market / Other,
DECNGOLD-EQ,Full Market / Other,
DEEPINDS-EQ,Full Market / Other,
DELPHIFX-EQ,Full Market / Other,
DELTACORP-EQ,Full Market / Other,
DELTAMAGNT-EQ,Full Market / Other,
DEN-EQ,Full Market / Other,
DENORA-EQ,Full Market / Other,
DENTA-EQ,Full Market / Other,
DEVIT-EQ,Full Market / Other,
DEVX-EQ,Full Market / Other,
DGCONTENT-EQ,Full Market / Other,
DHAMPURSUG-EQ,Full Market / Other,
DHANBANK-EQ,Full Market / Other,
DHANUKA-EQ,Full Market / Other,
DHARMAJ-EQ,Full Market / Other,
DHUNINV-EQ,Full Market / Other,
DIACABS-EQ,Full Market / Other,
DIAMINESQ-EQ,Full Market / Other,
DIAMONDYD-EQ,Full Market / Other,
DICIND-EQ,Full Market / Other,
DIFFNKG-EQ,Full Market / Other,
DIGIDRIVE-EQ,Full Market / Other,
DIGITIDE-EQ,Full Market / Other,
DIGJAMLMTD-EQ,Full Market / Other,
DISAQ-EQ,Full Market / Other,
DIVGIITTS-EQ,Full Market / Other,
DJML-EQ,Full Market / Other,
DLINKINDIA-EQ,Full Market / Other,
DMCC-EQ,Full Market / Other,
DNAMEDIA-EQ,Full Market / Other,
DODLA-EQ,Full Market / Other,
DOLATALGO-EQ,Full Market / Other,
DOLLAR-EQ,Full Market / Other,
DOLPHIN-EQ,Full Market / Other,
DONEAR-EQ,Full Market / Other,
DPABHUSHAN-EQ,Full Market / Other,
DPWIRES-EQ,Full Market / Other,
DRAGARWQ-EQ,Full Market / Other,
DRCSYSTEMS-EQ,Full Market / Other,
DREAMFOLKS-EQ,Full Market / Other,
DREDGECORP-EQ,Full Market / Other,
DSFCL-EQ,Full Market / Other,
DSSL-EQ,Full Market / Other,
DTIL-EQ,Full Market / Other,
DVL-EQ,Full Market / Other,
DWARKESH-EQ,Full Market / Other,
DYCL-EQ,Full Market / Other,
DYNAMATECH-EQ,Full Market / Other,
DYNPRO-EQ,Full Market / Other,
E2E-EQ,Full Market / Other,
EASEMYTRIP-EQ,Full Market / Other,
EBGNG-EQ,Full Market / Other,
ECOSMOBLTY-EQ,Full Market / Other,
EDELWEISS-EQ,Full Market / Other,
EFCIL-EQ,Full Market / Other,
EIEL-EQ,Full Market / Other,
EIFFL-EQ,Full Market / Other,
EIHAHOTELS-EQ,Full Market / Other,
EIMCOELECO-EQ,Full Market / Other,
EKC-EQ,Full Market / Other,
ELANTAS-EQ,Full Market / Other,
ELCIDIN-EQ,Full Market / Other,
ELDEHSG-EQ,Full Market / Other,
ELECTCAST-EQ,Full Market / Other,
ELECTHERM-EQ,Full Market / Other,
ELGIRUBCO-EQ,Full Market / Other,
ELIN-EQ,Full Market / Other,
ELITECON-EQ,Full Market / Other,
ELLEN-EQ,Full Market / Other,
ELPROINTL-EQ,Full Market / Other,
EMAMIPAP-EQ,Full Market / Other,
EMBDL-EQ,Full Market / Other,
EMIL-EQ,Full Market / Other,
EMKAY-EQ,Full Market / Other,
EMMBI-EQ,Full Market / Other,
EMSLIMITED-EQ,Full Market / Other,
EMUDHRA-EQ,Full Market / Other,
ENERGYDEV-EQ,Full Market / Other,
ENIL-EQ,Full Market / Other,
ENTERO-EQ,Full Market / Other,
EPACK-EQ,Full Market / Other,
EPACKPEB-EQ,Full Market / Other,
EPIGRAL-EQ,Full Market / Other,
EPL-EQ,Full Market / Other,
EQUITASBNK-EQ,Full Market / Other,
ESABINDIA-EQ,Full Market / Other,
ESAFSFB-EQ,Full Market / Other,
ESSARSHPNG-EQ,Full Market / Other,
ESTER-EQ,Full Market / Other,
ETHOSLTD-EQ,Full Market / Other,
EUREKAFORB-EQ,Full Market / Other,
EUROBOND-EQ,Full Market / Other,
EUROPRATIK-EQ,Full Market / Other,
EUROTEXIND-EQ,Full Market / Other,
EVEREADY-EQ,Full Market / Other,
EVERESTIND-EQ,Full Market / Other,
EXCELINDUS-EQ,Full Market / Other,
EXCELSOFT-EQ,Full Market / Other,
EXICOM-EQ,Full Market / Other,
EXPLEOSOL-EQ,Full Market / Other,
EXXARO-EQ,Full Market / Other,
FABTECH-EQ,Full Market / Other,
