Symbol,Sector,holidays
TATAMOTORS-EQ,Automobiles & Auto Parts,
TATAPOWER-EQ,Electrical Utilities & IPPs,
TATASTEEL-EQ,Metals & Mining,
TATATECH-EQ,Integrated Hardware & Software,
TBOTEK-EQ,Hotels & Entertainment Services,
TCS-EQ,Software & IT Services,
TECHM-EQ,Software & IT Services,
TECHNOE-EQ,Construction & Engineering,
TEJASNET-EQ,Communications & Networking,
THERMAX-EQ,"Machinery, Equipment & Components",
TIINDIA-EQ,Automobiles & Auto Parts,
TIMKEN-EQ,"Machinery, Equipment & Components",
TITAGARH-EQ,"Machinery, Equipment & Components",
TITAN-EQ,Textiles & Apparel,
TORNTPHARM-EQ,Pharmaceuticals,
TORNTPOWER-EQ,Electrical Utilities & IPPs,
TRENT-EQ,Diversified Retail,
TRIDENT-EQ,Textiles & Apparel,
TRITURBINE-EQ,"Machinery, Equipment & Components",
TRIVENI-EQ,Food & Tobacco,
TTML-EQ,Telecommunications Services,
TVSMOTOR-EQ,Automobiles & Auto Parts,
UBL-EQ,Beverages,
UCOBANK-EQ,Banking Services,
ULTRACEMCO-EQ,Construction Materials,
UNIONBANK-EQ,Banking Services,
UNITDSPR-EQ,Beverages,
UNOMINDA-EQ,Automobiles & Auto Parts,
UPL-EQ,Chemicals,
USHAMART-EQ,Metals & Mining,
UTIAMC-EQ,Investment Banking & Investment Services,
VBL-EQ,Beverages,
VEDL-EQ,Metals & Mining,
VGUARD-EQ,"Machinery, Equipment & Components",
VIJAYA-EQ,Healthcare Providers & Services,
VMM-EQ,Diversified Retail,
VOLTAS-EQ,"Machinery, Equipment & Components",
VTL-EQ,Textiles & Apparel,
WAAREEENER-EQ,Renewable Energy,
WELCORP-EQ,Metals & Mining,
WELSPUNLIV-EQ,Textiles & Apparel,
WESTLIFE-EQ,Hotels & Entertainment Services,
WHIRLPOOL-EQ,Household Goods,
WIPRO-EQ,Software & IT Services,
WOCKPHARMA-EQ,Pharmaceuticals,
YESBANK-EQ,Banking Services,
ZEEL-EQ,Media & Publishing,
ZENSARTECH-EQ,Software & IT Services,
ZENTEC-EQ,Aerospace & Defense,
ZFCVINDIA-EQ,Automobiles & Auto Parts,
ZYDUSLIFE-EQ,Pharmaceuticals,
